Data As Of,Start Date,End Date,Group,Year,Month,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,1,1,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,106073,106073,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,0-24,1026,1073,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,25-34,4020,4096,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,35-44,10823,11017,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,45-54,28105,28608,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,55-64,65591,67336,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,65-74,107050,110903,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,75-84,117068,121698,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,85+,96982,99984,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,Not stated,6,6,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,All Ages,430671,444721,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,0-24,81,81,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,25-34,230,230,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,35-44,540,540,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,45-54,1278,1278,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,55-64,2985,2985,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,65-74,4881,4881,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,75-84,6102,6102,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,85+,6958,6958,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,All Ages,23055,23055,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,389,429,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,780,836,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,1843,1975,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,4299,4635,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,9428,10193,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,14574,15545,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,15981,16859,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,13713,14191,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,1,1,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,61008,64664,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,102,102,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,886,897,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,3607,3634,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,10553,10641,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,26926,27155,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,46581,46967,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,56947,57614,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,85+,64143,65545,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,6,6,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,209751,212561,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,32,34,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,283,301,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,1082,1175,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,4057,4364,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,13100,14229,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,27463,29666,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,38583,41412,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,85+,40892,43553,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,6,8,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,125498,134742,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,0-24,471,471,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,25-34,1606,1610,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,35-44,4087,4088,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,45-54,9983,9986,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,55-64,21349,21357,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,65-74,31860,31869,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,75-84,33307,33316,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,85+,30790,30802,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,Not stated,1,1,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,All Ages,133454,133500,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,100,105,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,282,292,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,759,784,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,2438,2507,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,7761,7988,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,17469,17937,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,28104,28788,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,34427,35171,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,91340,93572,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,0-24,76,76,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,25-34,311,311,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,35-44,893,893,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,45-54,2583,2588,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,55-64,7793,7796,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,65-74,17192,17207,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,75-84,27867,27888,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,85+,38400,38428,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,Not stated,1,1,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,All Ages,95116,95188,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,110,116,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,290,311,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,843,883,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,2401,2516,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,6752,7011,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,12987,13371,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,17176,17708,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,19390,19990,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,1,1,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,59950,61907,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,468,540,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,1155,1328,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,2634,3005,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,6020,6764,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,13118,14545,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,20071,22165,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,22638,24922,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,22839,25158,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,1,1,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,88944,98428,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,0-24,415,418,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,25-34,1371,1372,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,35-44,3832,3837,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,45-54,9817,9819,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,55-64,21885,21896,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,65-74,32185,32197,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,75-84,28798,28804,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,85+,18596,18599,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,Not stated,2,2,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,All Ages,116901,116944,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,173,203,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,287,341,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,880,1072,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,2790,3427,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,9656,11533,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,19273,22711,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,21193,24658,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,15166,17240,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,69418,81185,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,0-24,281,283,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,25-34,1236,1247,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,35-44,4253,4301,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,45-54,12219,12304,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,55-64,28559,28743,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,65-74,45445,45715,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,75-84,44669,44935,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,85+,29907,30046,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,Not stated,4,4,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,All Ages,166573,167578,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,0-24,703,704,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,25-34,2841,2851,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,35-44,5877,5903,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,45-54,9813,9831,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,55-64,13632,13658,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,65-74,12431,12461,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,75-84,6140,6155,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,85+,1497,1500,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,Not stated,2,2,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,All Ages,52936,53065,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,0-24,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,25-34,2,2,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,35-44,3,3,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,45-54,35,35,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,55-64,315,315,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,65-74,2380,2381,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,75-84,10210,10226,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,85+,21613,21677,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,Not stated,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,All Ages,34558,34639,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,0,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,2,2,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,11,11,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,98,98,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,1200,1202,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,7762,7782,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,27507,27582,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,54476,54590,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,2,2,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,91058,91269,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Renal failure,Renal failure,N17-N19,0-24,266,272,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Renal failure,Renal failure,N17-N19,25-34,1197,1229,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Renal failure,Renal failure,N17-N19,35-44,3369,3458,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Renal failure,Renal failure,N17-N19,45-54,9128,9389,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Renal failure,Renal failure,N17-N19,55-64,20473,21228,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Renal failure,Renal failure,N17-N19,65-74,32548,34151,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Renal failure,Renal failure,N17-N19,75-84,33265,35183,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Renal failure,Renal failure,N17-N19,85+,27415,29108,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Renal failure,Renal failure,N17-N19,Not stated,3,4,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Renal failure,Renal failure,N17-N19,All Ages,127664,134022,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,403,1022,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,834,2290,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,1351,3292,
