Data As Of,Start Date,End Date,Group,Year,Month,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,All Ages,23055.0,23055.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,389.0,429.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,780.0,836.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,1843.0,1975.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,4299.0,4635.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,9428.0,10193.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,14574.0,15545.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,15981.0,16859.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,13713.0,14191.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,1.0,1.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,61008.0,64664.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,102.0,102.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,886.0,897.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,3607.0,3634.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,10553.0,10641.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,26926.0,27155.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,46581.0,46967.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,56947.0,57614.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,85+,64143.0,65545.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,6.0,6.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,209751.0,212561.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,32.0,34.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,283.0,301.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,1082.0,1175.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,4057.0,4364.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,13100.0,14229.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,27463.0,29666.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,38583.0,41412.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,85+,40892.0,43553.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,6.0,8.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,125498.0,134742.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,0-24,471.0,471.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,25-34,1606.0,1610.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,35-44,4087.0,4088.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,45-54,9983.0,9986.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,55-64,21349.0,21357.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,65-74,31860.0,31869.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,75-84,33307.0,33316.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,85+,30790.0,30802.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,Not stated,1.0,1.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,All Ages,133454.0,133500.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,100.0,105.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,282.0,292.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,759.0,784.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,2438.0,2507.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,7761.0,7988.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,17469.0,17937.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,28104.0,28788.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,34427.0,35171.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0.0,0.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,91340.0,93572.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,0-24,76.0,76.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,25-34,311.0,311.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,35-44,893.0,893.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,45-54,2583.0,2588.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,55-64,7793.0,7796.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,65-74,17192.0,17207.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,75-84,27867.0,27888.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,85+,38400.0,38428.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,Not stated,1.0,1.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Heart failure,I50,All Ages,95116.0,95188.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,110.0,116.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,290.0,311.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,843.0,883.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,2401.0,2516.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,6752.0,7011.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,12987.0,13371.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,17176.0,17708.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,19390.0,19990.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,1.0,1.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,59950.0,61907.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,468.0,540.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,1155.0,1328.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,2634.0,3005.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,6020.0,6764.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,13118.0,14545.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,20071.0,22165.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,22638.0,24922.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,22839.0,25158.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,1.0,1.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,88944.0,98428.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,0-24,415.0,418.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,25-34,1371.0,1372.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,35-44,3832.0,3837.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,45-54,9817.0,9819.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,55-64,21885.0,21896.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,65-74,32185.0,32197.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,75-84,28798.0,28804.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,85+,18596.0,18599.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,Not stated,2.0,2.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Sepsis,Sepsis,A40-A41,All Ages,116901.0,116944.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,173.0,203.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,287.0,341.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,880.0,1072.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,2790.0,3427.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,9656.0,11533.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,19273.0,22711.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,21193.0,24658.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,15166.0,17240.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0.0,0.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,69418.0,81185.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,0-24,281.0,283.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,25-34,1236.0,1247.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,35-44,4253.0,4301.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,45-54,12219.0,12304.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,55-64,28559.0,28743.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,65-74,45445.0,45715.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,75-84,44669.0,44935.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,85+,29907.0,30046.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,Not stated,4.0,4.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Diabetes,Diabetes,E10-E14,All Ages,166573.0,167578.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,0-24,703.0,704.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,25-34,2841.0,2851.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,35-44,5877.0,5903.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,45-54,9813.0,9831.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,55-64,13632.0,13658.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,65-74,12431.0,12461.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,75-84,6140.0,6155.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,85+,1497.0,1500.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,Not stated,2.0,2.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Obesity,Obesity,E65-E68,All Ages,52936.0,53065.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,0-24,0.0,0.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,25-34,2.0,2.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,35-44,3.0,3.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,45-54,35.0,35.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,55-64,315.0,315.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,65-74,2380.0,2381.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,75-84,10210.0,10226.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,85+,21613.0,21677.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,Not stated,0.0,0.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,All Ages,34558.0,34639.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0.0,0.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,2.0,2.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,11.0,11.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,98.0,98.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,1200.0,1202.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,7762.0,7782.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,27507.0,27582.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,54476.0,54590.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,2.0,2.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,91058.0,91269.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Renal failure,Renal failure,N17-N19,0-24,266.0,272.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Renal failure,Renal failure,N17-N19,25-34,1197.0,1229.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Renal failure,Renal failure,N17-N19,35-44,3369.0,3458.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Renal failure,Renal failure,N17-N19,45-54,9128.0,9389.0,
